timestamp	f1_405	f2_425	fz_450	f3_475	f4_515	f5_550	fy_555	fxl_600	f6_640	f7_690	f8_745	nir_855	clear	T	P	RH	Gas	model	mode	gain	atime	astep	led
2026-04-13T13:30:16.981	65	610	2235	1776	2770	913	2875	1969	1746	1811	336	123	34482	27.88	1012.41	53.46	100566	AS7343	flash	7	110	599	5
2026-04-13T13:30:19.054	66	609	2234	1776	2770	913	2873	1968	1747	1810	336	124	34467	27.88	1012.45	53.48	100267	AS7343	flash	7	110	599	5
2026-04-13T13:30:21.027	65	610	2234	1777	2769	912	2874	1968	1746	1808	335	123	34425	27.88	1012.43	53.47	100506	AS7343	flash	7	110	599	5
2026-04-13T13:30:22.996	66	609	2233	1776	2769	913	2873	1968	1746	1810	336	124	34448	27.88	1012.46	53.48	100566	AS7343	flash	7	110	599	5
2026-04-13T13:30:25.070	66	609	2234	1776	2769	912	2873	1967	1746	1809	336	123	34441	27.88	1012.45	53.48	99970	AS7343	flash	7	110	599	5
2026-04-13T13:30:27.038	66	610	2234	1776	2769	913	2872	1967	1746	1809	336	124	34440	27.88	1012.45	53.49	100387	AS7343	flash	7	110	599	5
2026-04-13T13:30:29.012	65	610	2235	1777	2770	912	2873	1967	1746	1809	336	124	34478	27.88	1012.43	53.48	100566	AS7343	flash	7	110	599	5
2026-04-13T13:30:31.089	66	610	2234	1776	2769	912	2872	1967	1745	1809	336	123	34479	27.88	1012.45	53.5	99970	AS7343	flash	7	110	599	5
2026-04-13T13:30:33.077	65	610	2235	1776	2768	912	2873	1966	1745	1809	336	124	34473	27.88	1012.46	53.5	100089	AS7343	flash	7	110	599	5
2026-04-13T13:30:35.074	65	610	2234	1777	2769	912	2872	1967	1745	1809	336	124	34473	27.88	1012.46	53.49	100267	AS7343	flash	7	110	599	5
2026-04-13T13:30:37.049	66	609	2234	1777	2769	912	2872	1965	1745	1809	335	124	34462	27.88	1012.44	53.49	100746	AS7343	flash	7	110	599	5
2026-04-13T13:30:39.129	66	609	2234	1776	2769	913	2873	1967	1745	1811	336	124	34463	27.87	1012.44	53.52	99734	AS7343	flash	7	110	599	5
2026-04-13T13:30:41.103	66	609	2235	1777	2769	913	2873	1966	1746	1809	335	123	34461	27.88	1012.45	53.51	100148	AS7343	flash	7	110	599	5
2026-04-13T13:30:43.077	65	610	2234	1777	2768	912	2874	1966	1746	1810	336	123	34465	27.88	1012.43	53.51	100148	AS7343	flash	7	110	599	5
2026-04-13T13:30:45.045	65	611	2235	1777	2769	912	2873	1966	1745	1811	337	124	34469	27.89	1012.42	53.51	100806	AS7343	flash	7	110	599	5
2026-04-13T13:30:47.122	65	610	2235	1777	2768	912	2873	1966	1746	1810	336	123	34464	27.88	1012.5	53.53	99911	AS7343	flash	7	110	599	5
2026-04-13T13:30:49.090	66	611	2236	1778	2769	912	2873	1966	1745	1810	335	124	34463	27.88	1012.43	53.52	100387	AS7343	flash	7	110	599	5
2026-04-13T13:30:51.178	65	611	2236	1777	2768	912	2873	1966	1745	1810	336	124	34471	27.87	1012.47	53.54	99440	AS7343	flash	7	110	599	5
2026-04-13T13:30:53.158	65	610	2237	1778	2769	912	2873	1966	1745	1809	336	124	34472	27.88	1012.44	53.53	99911	AS7343	flash	7	110	599	5
2026-04-13T13:30:55.136	66	609	2235	1777	2768	911	2871	1965	1745	1808	336	123	34474	27.88	1012.45	53.53	100208	AS7343	flash	7	110	599	5
2026-04-13T13:30:57.212	65	611	2237	1777	2768	912	2873	1966	1745	1809	336	124	34469	27.88	1012.46	53.54	99793	AS7343	flash	7	110	599	5
2026-04-13T13:30:59.178	65	610	2236	1777	2768	912	2872	1965	1745	1809	336	124	34469	27.88	1012.42	53.53	100267	AS7343	flash	7	110	599	5
